"Movie_Name","Movie_Original_Name","Movie_Original_Name_url","Movie_Cast","Movie_Score","Movie_Slogan","Movie_Comments"
"七宗罪","/ Se7en","https://movie.douban.com/subject/1292223/","导演: 大卫·芬奇 David Fincher 主演: 摩根·弗里曼 Morgan Freeman / 布...
1995 / 美国 / 剧情 犯罪 悬疑 惊悚","8.8","警察抓小偷，老鼠玩死猫。","501781人评价"
"被嫌弃的松子的一生","/ 嫌われ松子の一生","https://movie.douban.com/subject/1787291/","导演: 中岛哲也 Tetsuya Nakashima 主演: 中谷美纪 Miki Nakatani / 瑛太 E...
2006 / 日本 / 剧情 歌舞","8.9","以戏谑来戏谑戏谑。","357185人评价"
"致命魔术","/ The Prestige","https://movie.douban.com/subject/1780330/","导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 休·杰克曼 Hugh Jackman...
2006 / 美国 英国 / 剧情 悬疑 惊悚","8.8","孪生蝙蝠侠大战克隆金刚狼。","408468人评价"
"天使爱美丽","/ Le fabuleux destin d'Amélie Poulain","https://movie.douban.com/subject/1292215/","导演: 让-皮埃尔·热内 Jean-Pierre Jeunet 主演: 奥黛丽·塔图 Audrey Tau...
2001 / 法国 德国 / 喜剧 爱情","8.7","法式小清新。","559464人评价"
"本杰明·巴顿奇事","/ The Curious Case of Benjamin Button","https://movie.douban.com/subject/1485260/","导演: 大卫·芬奇 David Fincher 主演: 凯特·布兰切特 Cate Blanchett / ...
2008 / 美国 / 剧情 爱情 奇幻","8.8","在时间之河里感受溺水之苦。","464444人评价"
"西西里的美丽传说","/ Malèna","https://movie.douban.com/subject/1292402/","导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 莫妮卡·贝鲁奇 Monica ...
2000 / 意大利 美国 / 剧情 战争 情色","8.8","美丽无罪。","429556人评价"
"黑客帝国","/ The Matrix","https://movie.douban.com/subject/1291843/","导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski 主...
1999 / 美国 澳大利亚 / 动作 科幻","8.9","视觉革命。","339510人评价"
"音乐之声","/ The Sound of Music","https://movie.douban.com/subject/1294408/","导演: Robert Wise 主演: 朱丽·安德鲁斯 Julie Andrews / 克里斯托弗·普...
1965 / 美国 / 剧情 传记 爱情 歌舞","8.9","用音乐化解仇恨，让歌声串起美好。","273406人评价"
"让子弹飞","","","导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
2010 / 中国大陆 香港 / 剧情 喜剧 动作 西部","8.7","你给我翻译翻译，神马叫做TMD的惊喜。","754326人评价"
"拯救大兵瑞恩","/ Saving Private Ryan","https://movie.douban.com/subject/1292849/","导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks...
1998 / 美国 / 剧情 历史 战争","8.9","美利坚精神输出大片No1.","290615人评价"
"看不见的客人","/ Contratiempo","https://movie.douban.com/subject/26580232/","导演: 奥里奥尔·保罗 Oriol Paulo 主演: 马里奥·卡萨斯 Mario Casas / 阿...
2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚","8.7","你以为你以为的就是你以为的。","448677人评价"
"低俗小说","/ Pulp Fiction","https://movie.douban.com/subject/1291832/","导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 约翰·特拉沃尔塔 John Tra...
1994 / 美国 / 剧情 喜剧 犯罪","8.8","故事的高级讲法。","399339人评价"
"勇敢的心","/ Braveheart","https://movie.douban.com/subject/1294639/","导演: 梅尔·吉布森 Mel Gibson 主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
1995 / 美国 / 动作 传记 剧情 历史 战争","8.8","史诗大片的典范。","335838人评价"
